mode,length,round,batches,total_ns,ns_per_element,checksum
vector,49,1,100000,4697240,0.958620,25817.107300237258
vector,49,2,100000,3299829,0.673434,25817.107300237258
vector,49,3,100000,3107387,0.634161,25817.107300237258
vector,49,4,100000,3433730,0.700761,25817.107300237258
vector,49,5,100000,3198308,0.652716,25817.107300237258
vector,128,1,100000,6259951,0.489059,27143.890280854210
vector,128,2,100000,6059715,0.473415,27143.890280854210
vector,128,3,100000,6682513,0.522071,27143.890280854210
vector,128,4,100000,6099971,0.476560,27143.890280854210
vector,128,5,100000,5983342,0.467449,27143.890280854210
vector,256,1,100000,13078709,0.510887,37238.337281561570
vector,256,2,100000,12856082,0.502191,37238.337281561570
vector,256,3,100000,13335080,0.520902,37238.337281561570
vector,256,4,100000,13121499,0.512559,37238.337281561570
vector,256,5,100000,13130777,0.512921,37238.337281561570
vector,1024,1,100000,39385788,0.384627,34750.438108691036
vector,1024,2,100000,38460743,0.375593,34750.438108691036
vector,1024,3,100000,39512445,0.385864,34750.438108691036
vector,1024,4,100000,37310366,0.364359,34750.438108691036
vector,1024,5,100000,39769448,0.388374,34750.438108691036
