mode,length,round,batches,total_ns,ns_per_element,checksum
vector,49,1,100000,4908406,1.001716,25817.107300237258
vector,49,2,100000,5054590,1.031549,25817.107300237258
vector,49,3,100000,4658487,0.950712,25817.107300237258
vector,49,4,100000,4506411,0.919676,25817.107300237258
vector,49,5,100000,4037752,0.824031,25817.107300237258
vector,128,1,100000,5927126,0.463057,27143.890280854210
vector,128,2,100000,5824323,0.455025,27143.890280854210
vector,128,3,100000,6082238,0.475175,27143.890280854210
vector,128,4,100000,5965679,0.466069,27143.890280854210
vector,128,5,100000,6006786,0.469280,27143.890280854210
vector,256,1,100000,11911910,0.465309,37238.337281561570
vector,256,2,100000,11617449,0.453807,37238.337281561570
vector,256,3,100000,11685096,0.456449,37238.337281561570
vector,256,4,100000,11903275,0.464972,37238.337281561570
vector,256,5,100000,11539402,0.450758,37238.337281561570
vector,1024,1,100000,41021876,0.400604,34750.438108691036
vector,1024,2,100000,39062803,0.381473,34750.438108691036
vector,1024,3,100000,38059831,0.371678,34750.438108691036
vector,1024,4,100000,37932663,0.370436,34750.438108691036
vector,1024,5,100000,39370550,0.384478,34750.438108691036
