mode,length,round,batches,total_ns,ns_per_element,checksum
scalar,49,1,100000,11592612,2.365839,25817.107300237258
scalar,49,2,100000,9189635,1.875436,25817.107300237258
scalar,49,3,100000,9560320,1.951086,25817.107300237258
scalar,49,4,100000,7911939,1.614681,25817.107300237258
scalar,49,5,100000,5694460,1.162135,25817.107300237258
scalar,128,1,100000,8908989,0.696015,27143.890280854210
scalar,128,2,100000,9711834,0.758737,27143.890280854210
scalar,128,3,100000,8240796,0.643812,27143.890280854210
scalar,128,4,100000,8648851,0.675691,27143.890280854210
scalar,128,5,100000,8591223,0.671189,27143.890280854210
scalar,256,1,100000,15365367,0.600210,37238.337281561570
scalar,256,2,100000,18220913,0.711754,37238.337281561570
scalar,256,3,100000,21459507,0.838262,37238.337281561570
scalar,256,4,100000,22847240,0.892470,37238.337281561570
scalar,256,5,100000,15812206,0.617664,37238.337281561570
scalar,1024,1,100000,96637794,0.943728,34750.438108691036
scalar,1024,2,100000,72102117,0.704122,34750.438108691036
scalar,1024,3,100000,67192299,0.656175,34750.438108691036
scalar,1024,4,100000,65890016,0.643457,34750.438108691036
scalar,1024,5,100000,65664033,0.641250,34750.438108691036
