mode,length,round,batches,total_ns,ns_per_element,checksum
vanilla,49,1,100000,3450562,0.704196,25817.107300237258
vanilla,49,2,100000,3466101,0.707368,25817.107300237258
vanilla,49,3,100000,3972460,0.810706,25817.107300237258
vanilla,49,4,100000,3566689,0.727896,25817.107300237258
vanilla,49,5,100000,3575937,0.729783,25817.107300237258
vanilla,128,1,100000,7408073,0.578756,27143.890280854210
vanilla,128,2,100000,7057837,0.551394,27143.890280854210
vanilla,128,3,100000,7178784,0.560843,27143.890280854210
vanilla,128,4,100000,7086921,0.553666,27143.890280854210
vanilla,128,5,100000,8110221,0.633611,27143.890280854210
vanilla,256,1,100000,18145271,0.708800,37238.337281561570
vanilla,256,2,100000,19938324,0.778841,37238.337281561570
vanilla,256,3,100000,15576534,0.608458,37238.337281561570
vanilla,256,4,100000,13912413,0.543454,37238.337281561570
vanilla,256,5,100000,14806480,0.578378,37238.337281561570
vanilla,1024,1,100000,68892689,0.672780,34750.438108691036
vanilla,1024,2,100000,66528604,0.649693,34750.438108691036
vanilla,1024,3,100000,63744122,0.622501,34750.438108691036
vanilla,1024,4,100000,74197157,0.724582,34750.438108691036
vanilla,1024,5,100000,66721166,0.651574,34750.438108691036
