mode,length,round,batches,total_ns,ns_per_element,checksum
vanilla,49,1,100000,3695621,0.754208,25817.107300237258
vanilla,49,2,100000,3695160,0.754114,25817.107300237258
vanilla,49,3,100000,3833439,0.782334,25817.107300237258
vanilla,49,4,100000,3792433,0.773966,25817.107300237258
vanilla,49,5,100000,3209600,0.655020,25817.107300237258
vanilla,128,1,100000,8036533,0.627854,27143.890280854210
vanilla,128,2,100000,7818623,0.610830,27143.890280854210
vanilla,128,3,100000,7644177,0.597201,27143.890280854210
vanilla,128,4,100000,7947014,0.620860,27143.890280854210
vanilla,128,5,100000,8089532,0.631995,27143.890280854210
vanilla,256,1,100000,21646528,0.845568,37238.337281561570
vanilla,256,2,100000,17183177,0.671218,37238.337281561570
vanilla,256,3,100000,15498457,0.605408,37238.337281561570
vanilla,256,4,100000,16070089,0.627738,37238.337281561570
vanilla,256,5,100000,15568539,0.608146,37238.337281561570
vanilla,1024,1,100000,62617209,0.611496,34750.438108691036
vanilla,1024,2,100000,66465225,0.649074,34750.438108691036
vanilla,1024,3,100000,61226190,0.597912,34750.438108691036
vanilla,1024,4,100000,66127272,0.645774,34750.438108691036
vanilla,1024,5,100000,60858961,0.594326,34750.438108691036
