mode,length,round,batches,total_ns,ns_per_element,checksum
scalar,49,1,100000,7249557,1.479501,25817.107300237258
scalar,49,2,100000,5894856,1.203032,25817.107300237258
scalar,49,3,100000,5954808,1.215267,25817.107300237258
scalar,49,4,100000,5521787,1.126895,25817.107300237258
scalar,49,5,100000,5268742,1.075253,25817.107300237258
scalar,128,1,100000,6987986,0.545936,27143.890280854210
scalar,128,2,100000,6870415,0.536751,27143.890280854210
scalar,128,3,100000,6833336,0.533854,27143.890280854210
scalar,128,4,100000,6837353,0.534168,27143.890280854210
scalar,128,5,100000,7345256,0.573848,27143.890280854210
scalar,256,1,100000,14267169,0.557311,37238.337281561570
scalar,256,2,100000,14138386,0.552281,37238.337281561570
scalar,256,3,100000,14385650,0.561939,37238.337281561570
scalar,256,4,100000,19662246,0.768056,37238.337281561570
scalar,256,5,100000,22798289,0.890558,37238.337281561570
scalar,1024,1,100000,79137713,0.772829,34750.438108691036
scalar,1024,2,100000,65948736,0.644031,34750.438108691036
scalar,1024,3,100000,62917892,0.614433,34750.438108691036
scalar,1024,4,100000,63786492,0.622915,34750.438108691036
scalar,1024,5,100000,68008771,0.664148,34750.438108691036
