4078 DISPATCH -6,4 inFlight=1 remaining=211
CALL -6,4 took=36.472464ms
4115 COMPLETE -6,4 inFlight=0 remaining=211
4115 DISPATCH -6,5 inFlight=1 remaining=210
CALL -6,5 took=37.251746ms
4152 COMPLETE -6,5 inFlight=0 remaining=210
4152 DISPATCH -6,6 inFlight=1 remaining=209
CALL -6,6 took=38.516719ms
4191 COMPLETE -6,6 inFlight=0 remaining=209
4191 DISPATCH -6,7 inFlight=1 remaining=208
CALL -6,7 took=36.719507ms
4228 COMPLETE -6,7 inFlight=0 remaining=208
4228 DISPATCH -5,-8 inFlight=1 remaining=207
CALL -5,-8 took=100.998703ms
4330 COMPLETE -5,-8 inFlight=0 remaining=207
4330 DISPATCH -5,-7 inFlight=1 remaining=206
CALL -5,-7 took=44.147138ms
4374 COMPLETE -5,-7 inFlight=0 remaining=206
4374 DISPATCH -5,-6 inFlight=1 remaining=205
CALL -5,-6 took=32.168872ms
4406 COMPLETE -5,-6 inFlight=0 remaining=205
4407 DISPATCH -5,-5 inFlight=1 remaining=204
CALL -5,-5 took=33.554742ms
4440 COMPLETE -5,-5 inFlight=0 remaining=204
4440 DISPATCH -5,-4 inFlight=1 remaining=203
CALL -5,-4 took=37.842304ms
4478 COMPLETE -5,-4 inFlight=0 remaining=203
4479 DISPATCH -5,-3 inFlight=1 remaining=202
CALL -5,-3 took=41.387673ms
4520 COMPLETE -5,-3 inFlight=0 remaining=202
4520 DISPATCH -5,-2 inFlight=1 remaining=201
CALL -5,-2 took=32.287956ms
4553 COMPLETE -5,-2 inFlight=0 remaining=201
4553 DISPATCH -5,-1 inFlight=1 remaining=200
CALL -5,-1 took=30.435502ms
4584 COMPLETE -5,-1 inFlight=0 remaining=200
4584 DISPATCH -5,0 inFlight=1 remaining=199
CALL -5,0 took=31.051798ms
4615 COMPLETE -5,0 inFlight=0 remaining=199
4615 DISPATCH -5,1 inFlight=1 remaining=198
CALL -5,1 took=35.725964ms
4651 COMPLETE -5,1 inFlight=0 remaining=198
4651 DISPATCH -5,2 inFlight=1 remaining=197
CALL -5,2 took=36.960038ms
4688 COMPLETE -5,2 inFlight=0 remaining=197
4688 DISPATCH -5,3 inFlight=1 remaining=196
CALL -5,3 took=35.20669ms
4724 COMPLETE -5,3 inFlight=0 remaining=196
4724 DISPATCH -5,4 inFlight=1 remaining=195
CALL -5,4 took=39.256726ms
4763 COMPLETE -5,4 inFlight=0 remaining=195
4763 DISPATCH -5,5 inFlight=1 remaining=194
CALL -5,5 took=39.170494ms
4803 COMPLETE -5,5 inFlight=0 remaining=194
4803 DISPATCH -5,6 inFlight=1 remaining=193
CALL -5,6 took=38.697467ms
4842 COMPLETE -5,6 inFlight=0 remaining=193
4842 DISPATCH -5,7 inFlight=1 remaining=192
CALL -5,7 took=36.617837ms
4879 COMPLETE -5,7 inFlight=0 remaining=192
4879 DISPATCH -4,-8 inFlight=1 remaining=191
CALL -4,-8 took=107.882945ms
4987 COMPLETE -4,-8 inFlight=0 remaining=191
4987 DISPATCH -4,-7 inFlight=1 remaining=190
CALL -4,-7 took=35.305416ms
