t_seconds,cpu_pct
1.00,0.00
1.50,291.23
2.00,760.50
2.50,789.16
3.01,780.03
3.51,643.31
4.01,311.77
4.51,235.85
5.01,245.80
5.51,293.79
6.01,384.51
6.51,399.73
7.01,331.79
7.51,267.80
8.01,214.71
8.51,317.81
9.01,387.71
9.52,377.74
10.02,385.72
10.52,359.73
11.02,285.93
11.52,467.67
12.02,677.48
12.52,709.57
13.02,433.75
13.52,541.68
14.02,509.63
14.52,369.70
15.02,613.58
15.53,509.64
16.03,468.02
16.53,345.76
17.03,315.80
17.53,298.38
18.03,325.72
18.53,538.76
19.04,348.30
19.54,727.32
20.04,413.59
20.54,441.60
21.04,323.64
21.54,341.74
22.04,257.82
22.54,241.82
23.04,297.79
23.54,199.85
24.04,484.31
24.54,489.72
25.04,483.68
25.54,513.62
26.04,177.84
26.55,567.11
27.05,611.65
27.55,639.61
28.05,519.58
28.55,201.85
29.05,319.78
29.55,175.87
30.05,279.79
30.55,245.82
31.05,183.80
31.55,163.88
32.05,253.74
32.55,411.44
33.05,271.79
33.55,187.85
34.05,388.22
34.55,709.52
35.05,491.58
35.56,263.81
36.06,233.84
36.56,189.87
37.06,389.68
37.56,398.58
38.06,263.83
38.56,242.22
39.06,631.55
39.56,231.85
40.06,353.79
40.56,349.80
41.06,373.70
41.56,281.83
42.06,323.79
42.57,398.62
43.07,251.81
43.57,482.50
44.07,445.68
44.57,234.50
45.07,401.70
45.57,329.72
46.07,241.84
46.58,391.69
47.08,300.22
47.58,249.85
48.08,355.78
48.58,447.01
49.08,287.84
49.58,295.78
50.08,337.72
50.59,262.46
51.09,339.78
51.59,387.81
52.09,329.80
52.59,439.73
53.09,189.86
53.59,357.77
54.09,327.76
54.59,313.63
55.09,285.83
55.59,303.78
56.09,281.83
56.59,279.82
57.09,245.81
57.59,414.14
58.09,215.85
58.60,384.22
59.10,479.73
59.60,387.55
60.10,371.77
60.60,327.81
61.10,307.78
61.60,351.79
62.10,279.84
62.60,461.72
63.10,273.73
63.60,375.78
64.10,207.85
64.60,203.86
65.11,437.72
65.61,261.84
66.11,391.73
66.61,327.32
67.11,421.72
67.61,332.10
68.11,327.80
68.61,383.71
69.11,275.81
69.61,315.81
70.11,321.78
70.61,433.68
71.12,265.72
71.62,487.66
72.12,261.30
72.62,279.82
73.12,403.73
73.62,473.68
74.12,239.83
74.62,330.25
75.12,413.73
75.62,239.88
76.12,371.74
76.62,263.72
77.12,441.72
77.62,251.77
78.12,425.73
78.62,201.85
79.13,351.26
79.63,405.74
80.13,279.74
80.63,211.87
81.13,295.78
81.63,345.75
82.13,301.81
82.63,371.59
83.13,317.62
83.63,343.22
84.13,289.76
84.63,357.59
85.13,334.28
85.63,277.86
86.13,315.79
86.63,275.86
87.14,345.70
87.64,301.74
88.14,282.70
88.64,311.79
89.14,317.80
89.64,401.71
90.14,361.79
90.64,291.83
91.14,358.71
91.64,293.71
92.14,311.67
92.64,263.83
93.14,345.74
93.64,323.79
94.15,308.41
94.65,251.83
95.15,273.84
95.65,299.79
96.15,309.80
96.65,315.77
97.15,323.79
97.65,372.50
98.15,237.82
98.65,349.78
99.15,288.09
99.65,319.74
100.15,301.82
100.66,323.28
101.16,379.76
101.66,343.77
102.16,295.83
102.66,277.82
103.16,305.86
103.66,257.82
104.16,433.75
104.66,261.81
105.16,283.81
105.67,309.80
106.17,309.61
106.67,265.26
107.17,269.85
107.67,359.77
108.17,339.48
108.67,255.67
109.17,281.78
109.67,383.70
110.17,275.84
110.67,253.73
111.17,357.75
111.67,245.82
112.17,381.61
112.67,334.74
113.17,239.54
113.68,311.79
114.18,311.73
114.68,229.82
115.18,383.16
115.68,261.27
116.18,378.84
116.68,313.78
117.18,243.85
117.68,321.78
118.19,245.81
118.69,331.74
119.19,325.68
119.69,283.82
120.19,319.68
120.69,287.86
121.19,325.79
121.69,361.77
122.19,221.86
122.69,313.47
123.19,299.81
123.69,247.85
124.19,329.74
124.69,273.83
125.19,317.82
125.69,367.76
126.19,225.87
126.69,275.81
127.19,307.79
127.69,249.84
128.19,291.80
128.69,271.82
129.19,275.81
129.70,358.59
130.20,267.82
130.70,347.76
131.20,241.85
131.70,245.86
132.20,288.43
132.70,313.81
133.20,337.76
133.70,211.54
134.20,299.74
134.70,277.83
135.20,267.84
135.71,311.72
136.21,239.84
136.71,299.74
137.21,261.79
137.71,255.82
138.21,229.85
138.71,263.79
139.21,269.75
139.71,319.80
140.21,275.62
140.71,293.04
141.21,331.77
141.71,295.79
142.22,233.84
142.72,271.85
143.22,263.84
143.72,306.10
