samples,pct_of_total,leaf_frame
52,0.15,"net.minecraft.world.level.levelgen.SurfaceRules$Context.getMinSurfaceLevel() line: 140"
52,0.15,"net.minecraft.world.level.chunk.BulkSectionAccess.getSection(BlockPos) line: 29"
47,0.14,"net.minecraft.server.level.ChunkGenerationTask.scheduleLayer(ChunkStatus, boolean) line: 121"
46,0.13,"net.minecraft.world.level.block.state.StateHolder.getNullableValue(Property) line: 95"
45,0.13,"net.minecraft.core.TypedInstance.is(TagKey) line: 17"
44,0.13,"net.minecraft.world.level.levelgen.SurfaceRules$LazyCondition.test() line: 239"
44,0.13,"java.util.HashMap.computeIfAbsent(Object, Function) line: 1210"
43,0.13,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1139"
43,0.13,"it.unimi.dsi.fastutil.ints.IntArraySet.findKey(int) line: 205"
42,0.12,"net.minecraft.world.level.levelgen.SurfaceRules$VerticalGradientConditionSource$1VerticalGradientCondition.compute() line: 707"
41,0.12,"net.minecraft.world.level.levelgen.SurfaceRules$SequenceRule.tryApply(int, int, int) line: 388"
40,0.12,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1148"
39,0.11,"net.minecraft.world.level.lighting.BlockLightSectionStorage$BlockDataLayerStorageMap.copy() line: 36"
39,0.11,"java.util.stream.ReferencePipeline$3$1.accept(Object) line: 214"
38,0.11,"net.minecraft.world.level.chunk.ChunkAccess.setBlockState(BlockPos, BlockState) line: 126"
38,0.11,"net.minecraft.util.CrudeIncrementalIntIdentityHashBiMap.byId(int) line: 49"
37,0.11,"net.minecraft.world.level.levelgen.DensityFunctions$MulOrAdd.transform(double) line: 1102"
36,0.10,"net.minecraft.server.level.ChunkGenerationTask.scheduleNextLayer() line: 65"
34,0.10,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1134"
33,0.10,"jdk.internal.reflect.DirectMethodHandleAccessor.invoke(Object, Object[]) line: 104"
32,0.09,"net.minecraft.world.level.biome.Climate$RTree$Node.distance(long[]) line: 82"
32,0.09,"java.util.Arrays.fill(double[], double) line: 3354"
31,0.09,"net.minecraft.world.level.lighting.SkyLightSectionStorage$SkyDataLayerStorageMap.copy() line: 160"
31,0.09,"net.minecraft.world.level.lighting.SkyLightEngine.propagateLightSources(ChunkPos) line: 362"
31,0.09,"net.minecraft.world.level.levelgen.SurfaceRules$StoneDepthCheck$1StoneDepthCondition.compute() line: 490"
31,0.09,"net.minecraft.world.level.levelgen.NoiseChunk$Cache2D.compute(DensityFunction$FunctionContext) line: 744"
29,0.08,"net.minecraft.world.level.levelgen.DensityFunctions$Spline$Coordinate.apply(DensityFunctions$Spline$Point) line: 1269"
29,0.08,"net.minecraft.world.level.chunk.LevelChunkSection.setBlockState(int, int, int, BlockState, boolean) line: 73"
29,0.08,"java.util.HashMap.hash(Object) line: 338"
28,0.08,"net.minecraft.world.level.levelgen.carver.CaveWorldCarver.createTunnel(CarvingContext, CaveCarverConfiguration, ChunkAccess, Function, long, Aquifer, double, double, double, double, double, float, float, float, int, int, double, CarvingMask, WorldCarver$CarveSkipChecker) line: 133"
28,0.08,"net.minecraft.world.level.levelgen.NoiseChunk.fillAllDirectly(double[], DensityFunction) line: 341"
27,0.08,"net.minecraft.world.level.levelgen.carver.WorldCarver.isDebugEnabled(CarverConfiguration) line: 226"
27,0.08,"net.minecraft.world.level.levelgen.BitRandomSource.nextInt(int) line: 25"
27,0.08,"net.minecraft.server.level.ChunkHolder.getTickingChunk() line: 90"
27,0.08,"net.minecraft.core.HolderSet$Named.contains(Holder) line: 180"
26,0.08,"net.minecraft.world.level.lighting.SkyLightSectionStorage$SkyDataLayerStorageMap.copy() line: 144"
26,0.08,"net.minecraft.world.level.lighting.SkyLightEngine.propagateIncrease(long, long, int) line: 180"
26,0.08,"net.minecraft.world.level.levelgen.feature.OreFeature.place(FeaturePlaceContext) line: 51"
26,0.08,"net.minecraft.world.level.levelgen.feature.GeodeFeature.place(FeaturePlaceContext) line: 117"
26,0.08,"java.util.stream.ReferencePipeline$Head.forEach(Consumer) line: 803"
25,0.07,"net.minecraft.world.level.levelgen.LegacyRandomSource.next(int) line: 46"
24,0.07,"net.minecraft.world.level.levelgen.XoroshiroRandomSource.setSeed(long) line: 49"
23,0.07,"net.minecraft.world.phys.shapes.DiscreteVoxelShape.isFull(AxisCycle, int, int, int) line: 83"
23,0.07,"net.minecraft.world.level.levelgen.carver.CaveWorldCarver.createTunnel(CarvingContext, CaveCarverConfiguration, ChunkAccess, Function, long, Aquifer, double, double, double, double, double, float, float, float, int, int, double, CarvingMask, WorldCarver$CarveSkipChecker) line: 100"
23,0.07,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1151"
23,0.07,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1142"
