config,label,engine,chunks,total_ms,avg_mspc,chunks_per_sec
orion21_dragrace,"Orion v2.1","WorldgenD",6400,153323,23.96,41.74
paper_dragrace2,"Paper","Paper",6561,170270,25.95,38.53
leaf_dragrace2,"Leaf","Leaf",6561,146140,22.27,44.90
leafcrack_dragrace2,"Leaf-crack (tick frozen)","Leaf-crack",6561,134030,20.43,48.95
