samples,pct_of_total,leaf_frame
54,0.23,"net.minecraft.world.level.levelgen.SurfaceRules$LazyYCondition.getContextLastUpdate() line: 274"
53,0.22,"net.minecraft.world.level.chunk.PalettedContainer.getAndSet(int, Object) line: 121"
52,0.22,"net.minecraft.world.level.levelgen.NoiseChunk.fillAllDirectly(double[], DensityFunction) line: 341"
51,0.21,"net.minecraft.world.level.lighting.SkyLightEngine.countEmptySectionsBelowIfAtBorder(long) line: 236"
51,0.21,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1139"
49,0.21,"net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape.firstFull(Direction$Axis) line: 106"
48,0.20,"net.minecraft.world.level.levelgen.SurfaceRules$Context.getMinSurfaceLevel() line: 140"
48,0.20,"java.util.HashMap.computeIfAbsent(Object, Function) line: 1215"
47,0.20,"net.minecraft.world.level.chunk.SingleValuePalette.valueFor(int) line: 45"
45,0.19,"net.minecraft.server.level.GenerationChunkHolder.decreaseGenerationRefCount() line: 279"
45,0.19,"net.minecraft.core.TypedInstance.is(TagKey) line: 17"
44,0.18,"net.minecraft.world.level.levelgen.SurfaceRules$SequenceRule.tryApply(int, int, int) line: 388"
44,0.18,"net.minecraft.world.level.levelgen.Beardifier.compute(DensityFunction$FunctionContext) line: 174"
43,0.18,"net.minecraft.world.level.levelgen.SurfaceRules$LazyCondition.test() line: 240"
42,0.18,"net.minecraft.world.level.levelgen.NoiseBasedChunkGenerator.doFill(Blender, StructureManager, RandomState, ChunkAccess, int, int) line: 433"
42,0.18,"net.minecraft.world.level.block.state.StateHolder.getNullableValue(Property) line: 95"
41,0.17,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1148"
39,0.16,"java.util.stream.ReferencePipeline$3$1.accept(Object) line: 214"
39,0.16,"it.unimi.dsi.fastutil.ints.IntArraySet.findKey(int) line: 205"
38,0.16,"net.minecraft.world.level.biome.Climate$RTree$Node.distance(long[]) line: 82"
37,0.16,"net.minecraft.world.level.levelgen.DensityFunctions$MulOrAdd.transform(double) line: 1102"
36,0.15,"net.minecraft.core.AxisCycle$3.cycle(int, int, int, Direction$Axis) line: 50"
34,0.14,"net.minecraft.world.level.lighting.SkyLightSectionStorage$SkyDataLayerStorageMap.copy() line: 160"
34,0.14,"net.minecraft.world.level.levelgen.NoiseChunk$Cache2D.compute(DensityFunction$FunctionContext) line: 744"
