t_seconds,cpu_pct
0.50,0.0
1.00,0.0
1.50,534.0
2.01,767.4
2.51,787.3
3.01,629.5
3.51,255.8
4.01,247.8
4.51,229.9
5.01,251.8
5.51,305.1
6.01,301.8
6.51,343.8
7.01,299.7
7.51,205.8
8.01,221.8
8.51,271.8
9.01,335.8
9.51,309.8
10.01,333.7
10.51,325.8
11.01,261.8
11.51,385.7
12.02,723.3
12.52,717.5
13.02,409.7
13.52,438.8
14.02,569.5
14.52,235.8
15.02,293.8
15.52,555.5
16.02,363.7
16.52,395.7
17.02,273.7
17.53,371.1
18.03,615.4
18.53,215.8
19.03,301.7
19.53,411.7
20.04,414.6
20.54,233.8
21.04,297.8
21.54,341.7
22.04,279.8
22.54,275.7
23.04,287.7
23.54,571.2
24.04,731.5
24.54,219.8
25.04,590.8
25.54,732.9
26.05,715.5
26.55,699.6
27.05,635.6
27.55,195.9
28.05,225.8
28.55,225.7
29.05,221.8
29.55,219.8
30.05,219.8
30.55,216.1
31.05,201.8
31.55,215.7
32.05,215.7
32.56,217.4
33.06,219.8
33.56,215.1
34.06,201.9
34.56,161.8
35.06,175.9
35.56,135.9
36.06,207.8
36.56,151.8
37.06,165.8
37.56,275.2
38.06,701.4
38.57,702.9
39.07,281.8
39.57,209.8
40.07,181.8
40.57,155.9
41.07,193.8
41.57,347.5
42.07,315.5
42.57,783.4
43.07,421.7
43.57,165.8
44.07,255.8
44.58,286.7
45.08,311.8
45.58,363.7
46.08,611.5
46.58,275.8
47.08,215.8
47.58,235.8
48.08,333.7
48.58,509.5
49.08,409.4
49.58,139.8
50.08,201.8
50.58,503.6
51.08,427.6
51.58,439.5
52.08,269.8
52.58,169.9
53.09,370.7
53.59,301.8
54.09,353.7
54.59,477.6
55.09,177.9
55.59,282.6
56.09,371.7
56.59,221.8
57.09,393.5
57.60,394.0
58.10,291.8
58.60,219.8
59.10,281.8
59.60,379.7
60.10,531.6
60.60,223.8
61.10,343.6
61.60,429.1
62.10,283.8
62.60,379.7
63.10,193.8
63.61,381.7
64.11,243.8
64.61,387.7
65.11,345.7
65.61,287.8
66.11,263.8
66.61,341.0
67.11,419.6
67.61,263.8
68.11,341.2
68.61,293.8
69.11,365.7
69.61,193.8
70.11,359.7
70.61,325.7
71.11,405.7
71.62,283.9
72.12,223.8
72.62,303.8
73.12,274.0
73.63,189.8
74.13,494.5
74.63,311.8
75.13,247.8
75.63,293.8
76.13,167.8
76.63,289.8
77.13,265.8
77.63,313.6
78.13,279.7
78.64,268.2
79.14,461.6
79.64,393.7
80.14,201.8
80.64,351.7
81.14,339.7
81.64,372.1
82.14,223.8
82.64,263.8
83.14,395.5
83.65,371.7
84.15,211.8
84.65,333.7
85.15,369.8
85.65,333.8
86.15,245.1
86.65,355.7
87.15,309.8
87.65,327.7
88.15,297.8
88.66,403.0
89.16,271.8
89.66,379.8
90.16,181.9
90.66,311.8
91.16,361.7
91.66,261.8
92.16,381.7
92.66,390.9
93.16,347.8
93.66,181.9
94.16,371.7
94.66,345.7
95.16,265.8
95.66,399.7
96.16,279.8
96.66,337.7
97.17,379.5
97.67,245.8
98.17,335.7
98.67,229.7
99.17,297.7
99.67,414.8
100.17,243.8
100.67,289.8
