t_seconds,cpu_pct
0.50,0.0
1.00,0.0
1.51,259.6
2.01,761.5
2.51,785.4
3.01,785.5
3.51,415.7
4.01,279.8
4.51,231.9
5.01,243.7
5.51,283.8
6.01,383.7
6.51,417.7
7.01,417.1
7.51,331.8
8.01,219.7
8.51,219.1
9.01,311.8
9.52,315.7
10.02,363.7
10.52,401.7
11.02,385.7
11.52,371.2
12.02,579.5
12.52,755.5
13.02,693.5
13.52,447.6
14.02,447.7
14.52,774.0
15.02,515.6
15.52,401.7
16.03,313.5
16.57,427.1
17.07,747.3
17.57,783.3
18.07,773.4
18.58,761.4
19.08,785.4
19.58,755.4
20.08,783.4
20.58,763.2
21.08,587.4
21.58,702.8
22.08,775.4
22.59,777.3
23.09,765.4
23.59,767.5
24.09,769.4
24.59,769.7
25.09,775.4
25.59,747.3
26.09,739.4
26.60,693.5
27.10,751.5
27.60,759.3
28.10,735.4
28.60,639.5
29.10,751.4
29.60,705.3
30.10,730.3
30.60,676.6
31.11,749.8
31.61,721.4
32.11,709.4
32.61,701.5
33.11,733.5
33.61,695.4
34.11,777.4
34.61,255.8
35.11,323.7
35.61,713.4
36.11,706.3
36.61,609.0
37.11,685.1
37.61,735.5
38.11,740.6
38.61,753.3
39.12,659.8
39.62,760.5
40.12,749.4
40.62,761.3
41.12,735.3
41.62,769.3
42.12,769.4
42.62,688.4
43.12,751.4
43.62,731.5
44.12,723.4
44.62,695.3
45.12,717.4
45.62,753.4
46.13,777.9
46.63,748.7
47.13,715.8
47.63,751.5
48.13,727.5
48.63,727.5
49.13,741.1
49.63,729.5
50.13,733.1
50.63,713.4
51.14,714.9
51.65,687.4
52.15,203.8
52.65,650.9
53.15,785.3
53.65,685.4
54.15,721.4
54.65,711.4
55.15,719.4
55.65,721.4
56.15,727.4
56.65,695.4
57.15,693.1
57.65,724.2
58.16,601.4
58.66,721.5
59.16,701.3
59.66,743.2
60.16,505.5
60.66,739.1
61.16,739.3
61.66,683.4
62.16,719.4
62.66,711.5
63.16,716.5
63.66,731.1
64.16,677.3
64.66,684.3
65.16,701.6
65.66,771.3
66.17,715.3
66.67,701.8
67.17,697.5
67.67,717.5
68.17,661.5
68.67,695.4
69.17,710.5
69.67,733.4
70.17,716.6
70.67,713.2
71.17,687.5
71.68,713.9
72.18,737.4
72.68,709.3
73.18,685.2
73.68,688.8
74.18,715.4
74.68,727.2
75.18,719.3
75.68,695.4
76.18,747.2
76.68,726.6
77.18,653.0
77.68,705.4
78.18,603.5
78.69,651.4
79.19,735.4
79.69,627.6
80.19,719.3
80.69,675.5
81.19,729.4
81.69,675.5
82.19,719.3
82.69,719.4
83.19,691.4
83.69,721.4
84.19,688.2
84.69,712.6
85.19,709.4
85.69,709.5
86.19,713.3
86.69,699.4
87.19,702.2
87.70,685.4
88.20,641.4
88.70,775.5
89.20,731.4
89.70,705.4
90.20,717.4
90.70,269.7
91.20,0.0
91.70,0.0
92.20,0.0
92.70,0.0
93.20,46.0
93.70,99.9
94.20,99.9
