samples,pct_of_total,leaf_frame
55,0.16,"net.minecraft.world.level.levelgen.SurfaceRules$VerticalGradientConditionSource$1VerticalGradientCondition.compute() line: 707"
55,0.16,"java.util.HashMap.computeIfAbsent(Object, Function) line: 1215"
53,0.15,"net.minecraft.server.level.ChunkGenerationTask.scheduleLayer(ChunkStatus, boolean) line: 119"
52,0.15,"net.minecraft.world.level.levelgen.SurfaceRules$LazyYCondition.getContextLastUpdate() line: 274"
52,0.15,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 355"
51,0.14,"net.minecraft.world.level.levelgen.DensityFunctions$MarkerOrMarked.mapAll(DensityFunction$Visitor) line: 433"
50,0.14,"java.util.HashMap.computeIfAbsent(Object, Function) line: 1210"
49,0.14,"net.minecraft.world.level.chunk.SingleValuePalette.valueFor(int) line: 45"
48,0.14,"net.minecraft.world.level.lighting.LightEngine.propagateIncreases() line: 187"
47,0.13,"net.minecraft.world.level.biome.Climate$RTree$Node.distance(long[]) line: 82"
46,0.13,"net.minecraft.world.level.levelgen.NoiseChunk.fillAllDirectly(double[], DensityFunction) line: 341"
44,0.13,"net.minecraft.world.level.levelgen.NoiseBasedChunkGenerator.doFill(Blender, StructureManager, RandomState, ChunkAccess, int, int) line: 433"
44,0.13,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1139"
43,0.12,"it.unimi.dsi.fastutil.ints.IntArraySet.findKey(int) line: 205"
42,0.12,"net.minecraft.world.level.block.state.StateHolder.getNullableValue(Property) line: 95"
41,0.12,"net.minecraft.world.level.lighting.BlockLightSectionStorage$BlockDataLayerStorageMap.copy() line: 36"
37,0.11,"net.minecraft.world.level.levelgen.DensityFunctions$MulOrAdd.transform(double) line: 1102"
37,0.11,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1148"
37,0.11,"java.util.stream.ReferencePipeline$3$1.accept(Object) line: 214"
36,0.10,"net.minecraft.core.TypedInstance.is(TagKey) line: 17"
35,0.10,"net.minecraft.world.level.levelgen.SurfaceRules$SequenceRule.tryApply(int, int, int) line: 388"
34,0.10,"net.minecraft.world.level.levelgen.feature.OreFeature.place(FeaturePlaceContext) line: 51"
34,0.10,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1142"
33,0.09,"net.minecraft.world.level.lighting.SkyLightEngine.propagateLightSources(ChunkPos) line: 362"
32,0.09,"net.minecraft.world.level.lighting.SkyLightSectionStorage$SkyDataLayerStorageMap.copy() line: 160"
32,0.09,"net.minecraft.world.level.levelgen.BitRandomSource.nextInt(int) line: 25"
31,0.09,"net.minecraft.world.level.lighting.SkyLightSectionStorage$SkyDataLayerStorageMap.copy() line: 144"
31,0.09,"net.minecraft.world.level.lighting.LightEngine.propagateIncreases() line: 191"
31,0.09,"net.minecraft.world.level.levelgen.carver.WorldCarver.isDebugEnabled(CarverConfiguration) line: 226"
31,0.09,"net.minecraft.world.level.levelgen.OreVeinifier.lambda$create$0(DensityFunction, BlockState, PositionalRandomFactory, DensityFunction, DensityFunction, DensityFunction$FunctionContext) line: 63"
30,0.09,"net.minecraft.world.level.levelgen.SurfaceRules$LazyCondition.test() line: 240"
30,0.09,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 325"
30,0.09,"java.util.Arrays.fill(double[], double) line: 3354"
30,0.09,"java.lang.Object.clone()"
28,0.08,"net.minecraft.world.level.levelgen.feature.GeodeFeature.place(FeaturePlaceContext) line: 117"
28,0.08,"net.minecraft.world.level.levelgen.XoroshiroRandomSource.setSeed(long) line: 49"
28,0.08,"net.minecraft.world.level.levelgen.DensityFunctions$YClampedGradient.compute(DensityFunction$FunctionContext) line: 1332"
28,0.08,"net.minecraft.world.level.levelgen.DensityFunctions$Spline$Coordinate.apply(DensityFunctions$Spline$Point) line: 1269"
28,0.08,"net.minecraft.world.level.levelgen.Beardifier.compute(DensityFunction$FunctionContext) line: 162"
27,0.08,"net.minecraft.world.level.lighting.BlockLightEngine.propagateIncrease(long, long, int) line: 64"
27,0.08,"net.minecraft.world.level.levelgen.SurfaceRules$StoneDepthCheck$1StoneDepthCondition.compute() line: 490"
